method,arm,b,se,lci,uci,pval,class
"IVW (5e-8, this pipeline)",overlapping,-0.06724994021951579,0.0056106445250136,-0.07824680348854245,-0.05625307695048913,4.200535575408247e-33,no pleiotropy model
"IVW (5e-8, this pipeline)",overlap-free,-0.0538908262135081,0.00676924510583807,-0.06715854662095072,-0.040623105806065485,1.7047802510041973e-15,no pleiotropy model
MR-RAPS (l2) @ 5e-08,overlapping,-0.08362760793015737,0.02514798212525129,-0.1329176528956499,-0.03433756296466483,8.8285366461572e-4,InSIDE (uncorrelated pleiotropy)
MR-RAPS (tukey) @ 5e-08,overlapping,-0.0623261524513372,0.02037050615022518,-0.10225234450577857,-0.02239996039689583,0.00221612739343326,InSIDE (uncorrelated pleiotropy)
MR-RAPS (l2) @ 5e-05,overlapping,-0.0564062320578711,0.02092156928906131,-0.09741250786443129,-0.01539995625131093,0.00701607383052174,InSIDE (uncorrelated pleiotropy)
MR-RAPS (tukey) @ 5e-05,overlapping,-0.04295835877492583,0.01656803056189324,-0.0754316986762366,-0.01048501887361506,0.0095185264968826,InSIDE (uncorrelated pleiotropy)
MR-RAPS (l2) @ 5e-08,overlap-free,-0.05874646639627421,0.0234724252623417,-0.10475241991046394,-0.01274051288208447,0.01232198898359488,InSIDE (uncorrelated pleiotropy)
MR-RAPS (tukey) @ 5e-08,overlap-free,-0.03025152508828829,0.01745702713732464,-0.06446729827744459,0.00396424810086799,0.08311097219880248,InSIDE (uncorrelated pleiotropy)
MR-RAPS (l2) @ 5e-05,overlap-free,-0.05223649936222914,0.01859400402604592,-0.08868074725327915,-0.01579225147117913,0.00496463391356828,InSIDE (uncorrelated pleiotropy)
MR-RAPS (tukey) @ 5e-05,overlap-free,-0.02996836171848833,0.0149800686735552,-0.05932929631865655,-6.074271183201287e-4,0.04544101209344341,InSIDE (uncorrelated pleiotropy)
MRBEE @ 5e-08,overlapping,-0.07145432534856519,0.0215766851105107,-0.11374462816516616,-0.0291640225319642,9.27490992114025e-4,InSIDE (uncorrelated pleiotropy)
MRBEE @ 5e-05,overlapping,-0.05097194221496388,0.01948389755057817,-0.0891603814140971,-0.01278350301583067,0.00889389299646881,InSIDE (uncorrelated pleiotropy)
MRBEE @ 5e-08,overlap-free,-0.03655924566544333,0.01949370626915778,-0.07476690995299258,0.0016484186221059,0.06073243389851685,InSIDE (uncorrelated pleiotropy)
MRBEE @ 5e-05,overlap-free,-0.03324441365132678,0.01635019532177337,-0.06529079648200259,-0.00119803082065096,0.0420249311391411,InSIDE (uncorrelated pleiotropy)
MR-APSS (corrected),overlapping,-0.0560831527534663,0.02651066908525083,-0.10804406416055792,-0.00412224134637467,0.034388,correlated pleiotropy modelled
MR-APSS (uncorrected),overlapping,-0.0516956589696887,0.02615249354314449,-0.10295454631425192,-4.367716251254955e-4,0.048075,correlated pleiotropy modelled
MR-APSS (corrected),overlap-free,-0.03747800615741469,0.01868917953409666,-0.07410879804424414,-8.472142705852267e-4,0.044928,correlated pleiotropy modelled
MR-APSS (uncorrected),overlap-free,-0.03607879006584335,0.01836508837966134,-0.07207436328997958,-8.321684170711774e-5,0.049469,correlated pleiotropy modelled
"CAUSE (gamma, causal model)",overlapping,-0.04029498097076883,NA,-0.07927544107585004,-0.00263343162574802,0.1565232370236908,correlated pleiotropy modelled
"CAUSE (gamma, causal model)",overlap-free,-0.0214588743039043,NA,-0.05193703759366437,0.00740041266755542,0.3759077940111708,correlated pleiotropy modelled
