exposure,survival,n_snp,method,b,se,p,mean_F,egger_int_p,b_wmedian,b_egger,edge,pleiotropy
chronotype.ukbb,"Parental lifespan (combined, Martingale resid)",9,Inverse variance weighted,-0.0032663758433460733,0.04319976690478955,0.9397286166845213,37.73510828996727,0.8025517631589696,-0.011476410467049818,0.030648841492011563,no clear edge,
chronotype.ukbb,Combined parental age at death,9,Inverse variance weighted,-0.004406467602570428,0.04545409697510906,0.922771466966136,37.73510828996727,0.3853900780178928,-0.02348305607331979,-0.12467064871711139,no clear edge,
chronotype.ukbb,Father's age at death,9,Inverse variance weighted,0.04160051433161735,0.036588520620554545,0.2555455250698345,37.73510828996727,0.7614710542933538,0.060501632604301754,0.008827590339537094,no clear edge,
chronotype.ukbb,Mother's attained age,9,Inverse variance weighted,0.022436088203751953,0.034227695256566264,0.5121490086249023,37.73510828996727,0.82187059171826915,0.017287014322886474,0.04662887591767493,no clear edge,
sleeplessness.elsworth,"Parental lifespan (combined, Martingale resid)",39,Inverse variance weighted,-0.015180194866664496,0.05162811020255632,0.7687352513690313,45.09378766880318,0.7266789980384725,0.03953270558798662,0.04052017818223976,no clear edge,
sleeplessness.elsworth,Combined parental age at death,39,Inverse variance weighted,-0.1132627393381974,0.06161709980068445,0.06603727527220733,45.09378766880318,0.7726066713431171,-0.15167315105305293,-0.16829759140874095,no clear edge,
sleeplessness.elsworth,Father's age at death,39,Inverse variance weighted,-0.03914231089615442,0.044389981815297255,0.37789441555492015,45.09378766880318,0.7783661649354741,-0.0582978605233833,-5.260227624233169e-4,no clear edge,
sleeplessness.elsworth,Mother's attained age,39,Inverse variance weighted,0.015500722086216018,0.052008778888248314,0.7656722584651712,45.09378766880318,0.42530843462268497,0.07973271874879745,0.14294855845600937,no clear edge,
sleepduration.elsworth,"Parental lifespan (combined, Martingale resid)",66,Inverse variance weighted,-0.07082406896384916,0.04079767457660408,0.08256684284141134,43.027387039639606,0.9114938422601495,-0.04903441807875456,-0.05406753308385569,no clear edge,
sleepduration.elsworth,Combined parental age at death,66,Inverse variance weighted,0.05958508760953422,0.058116219805499435,0.30523360796998633,43.027387039639606,0.9522933239188611,0.08225083484269331,0.04674397853061377,no clear edge,
sleepduration.elsworth,Father's age at death,66,Inverse variance weighted,0.039298956194124796,0.04022600443608495,0.3285919229506889,43.027387039639606,0.8595013258075976,0.09031895738562852,0.01299708354223397,no clear edge,
sleepduration.elsworth,Mother's attained age,66,Inverse variance weighted,-0.05733304440234938,0.034905451828232396,0.10048144443328681,43.027387039639606,0.5624477682204595,-0.07754049915015637,0.017282509264755216,no clear edge,
sleepapnea.sakaue,"Parental lifespan (combined, Martingale resid)",1,Wald ratio,0.02531969111969112,0.021880694980694983,0.24720277548815134,63.50863905325444,NA,NA,NA,no clear edge,
sleepapnea.sakaue,Combined parental age at death,1,Wald ratio,-0.04920714285714286,0.03199044401544402,0.12400398557679612,63.50863905325444,NA,NA,NA,no clear edge,
sleepapnea.sakaue,Father's age at death,1,Wald ratio,-0.04148426640926641,0.025870077220077222,0.10881068672943357,63.50863905325444,NA,NA,NA,no clear edge,
sleepapnea.sakaue,Mother's attained age,1,Wald ratio,0.004623445945945946,0.021371814671814673,0.8287275618369034,63.50863905325444,NA,NA,NA,no clear edge,
LDLchol.ukb.richardson,"Parental lifespan (combined, Martingale resid)",157,Inverse variance weighted,0.0649934803881219,0.010557692664797131,7.459076035276948e-10,264.7472095843831,0.0067288923130911765,0.06776008616626727,0.08895540600418803,STRONG survival edge (Bonferroni),Egger intercept p<0.05 — directional pleiotropy
LDLchol.ukb.richardson,Combined parental age at death,156,Inverse variance weighted,-0.06513611934218898,0.01223412204421443,1.0143446589432101e-7,261.0429140174397,0.14042669136707414,-0.06579955640229593,-0.08021185347962698,STRONG survival edge (Bonferroni),
LDLchol.ukb.richardson,Mother's attained age,157,Inverse variance weighted,0.03788536355170202,0.008551620014270947,9.414693027840527e-6,264.7472095843831,0.008042744548536518,0.044333482806277906,0.05688139980922968,STRONG survival edge (Bonferroni),Egger intercept p<0.05 — directional pleiotropy
HDLchol.ukb.richardson,"Parental lifespan (combined, Martingale resid)",305,Inverse variance weighted,-0.06563388819791359,0.00886237424072142,1.3026055608840124e-13,186.51870730305092,0.04390347392361429,-0.0399750683754518,-0.04746808286509417,STRONG survival edge (Bonferroni),Egger intercept p<0.05 — directional pleiotropy
HDLchol.ukb.richardson,Combined parental age at death,305,Inverse variance weighted,0.07640097982372344,0.009798346515739789,6.322876046433408e-15,186.51870730305092,0.0012072405095194566,0.05064091974849189,0.04429484141909626,STRONG survival edge (Bonferroni),Egger intercept p<0.05 — directional pleiotropy
HDLchol.ukb.richardson,Father's age at death,305,Inverse variance weighted,0.05409883489180989,0.007640951066121242,1.440318047530928e-12,186.51870730305092,6.602826339126039e-4,0.021416057694119636,0.027804062163459212,STRONG survival edge (Bonferroni),Egger intercept p<0.05 — directional pleiotropy
HDLchol.ukb.richardson,Mother's attained age,305,Inverse variance weighted,-0.05446339094521509,0.00771042183467309,1.6223497096883158e-12,186.51870730305092,0.20583851377739334,-0.034222181946111534,-0.04452092804811542,STRONG survival edge (Bonferroni),
weight.ukb,"Parental lifespan (combined, Martingale resid)",457,Inverse variance weighted,0.10378329926306017,0.010103506245507645,9.422253047509555e-25,70.86851159007576,0.3111232987200943,0.10210204442032998,0.07989746120827317,STRONG survival edge (Bonferroni),
weight.ukb,Combined parental age at death,456,Inverse variance weighted,-0.09852328440949878,0.013521640345399075,3.184859144827066e-13,70.8450877516513,0.5093631453706939,-0.10829114880574846,-0.0777290565916916,STRONG survival edge (Bonferroni),
weight.ukb,Father's age at death,457,Inverse variance weighted,-0.05958520562069173,0.010441705864175407,1.1534813201892522e-8,70.86851159007576,0.9534509869883097,-0.07096837131942707,-0.061008714918345745,STRONG survival edge (Bonferroni),
weight.ukb,Mother's attained age,457,Inverse variance weighted,0.08109908370131867,0.008952272612084044,1.315918141659101e-19,70.86851159007576,0.48928617727016255,0.0861612756931126,0.06664522589043768,STRONG survival edge (Bonferroni),
FBG.manning,"Parental lifespan (combined, Martingale resid)",20,Inverse variance weighted,0.03513291490510243,0.017733553617225704,0.047573916140286665,96.2930207058074,0.5762259018194169,0.03228516309814132,0.05365929707380528,nominal survival edge,
FBG.manning,Combined parental age at death,20,Inverse variance weighted,-0.0201657161446339,0.023456529323324423,0.38995119360274066,96.2930207058074,0.04036369788184653,-0.041505812275652185,-0.11357936738690659,no clear edge,Egger intercept p<0.05 — directional pleiotropy
FBG.manning,Father's age at death,20,Inverse variance weighted,-0.030037732754445195,0.01900148610077229,0.11392156546959976,96.2930207058074,0.32424210012217547,-0.03907454880233859,-0.06475347696933996,no clear edge,
FBG.manning,Mother's attained age,20,Inverse variance weighted,0.039366976037010004,0.01784852949390544,0.02741100066993923,96.2930207058074,0.8883032761080629,0.03199197193692081,0.044072517285742706,nominal survival edge,
PBG.chen,"Parental lifespan (combined, Martingale resid)",12,Inverse variance weighted,0.020910342338915627,0.012860085086498125,0.10395223611916221,58.937589489990245,0.11471378097854906,0.038028193121403195,-0.029666560186556744,no clear edge,
PBG.chen,Combined parental age at death,12,Inverse variance weighted,-0.02468696689399461,0.01751394329519561,0.1586694260762307,58.937589489990245,0.268793308352087,-0.032328273610245595,0.025228577152965247,no clear edge,
PBG.chen,Father's age at death,12,Inverse variance weighted,-0.03473869735072915,0.012346760679005113,0.004899197874802876,58.937589489990245,0.07341962257167185,-0.031683841771293776,0.026345673010883593,nominal survival edge,
PBG.chen,Mother's attained age,12,Inverse variance weighted,0.004343765002569143,0.012294309155077395,0.7238522304662742,58.937589489990245,0.6511222671507277,0.005326334378046438,-0.010365344916433797,no clear edge,
T2D.xue,"Parental lifespan (combined, Martingale resid)",109,Inverse variance weighted,0.02725422065327461,0.004944327638916738,3.54336043373549e-8,75.50760424202991,0.012405967203767002,0.01828269323197282,0.0024514525650628127,STRONG survival edge (Bonferroni),Egger intercept p<0.05 — directional pleiotropy
T2D.xue,Combined parental age at death,109,Inverse variance weighted,-0.02031672659756952,0.007412995346524527,0.0061310212351069595,75.50760424202991,0.012081323624802416,4.1758108093794784e-4,0.01703531598591681,nominal survival edge,Egger intercept p<0.05 — directional pleiotropy
T2D.xue,Father's age at death,109,Inverse variance weighted,-0.024913205475902554,0.00527606678998093,2.33619833507861e-6,75.50760424202991,0.05108483818051597,-0.015396435852201096,-0.004139897248941017,STRONG survival edge (Bonferroni),
T2D.xue,Mother's attained age,109,Inverse variance weighted,0.021077783355478,0.00435953291755088,1.332313790530298e-6,75.50760424202991,0.0376381116107997,0.009820400977524284,0.0028148498118007307,STRONG survival edge (Bonferroni),Egger intercept p<0.05 — directional pleiotropy
BMI.elsworth,"Parental lifespan (combined, Martingale resid)",423,Inverse variance weighted,0.1363864210450308,0.011111326632309433,1.2409538531231062e-34,63.58297810064925,0.07244272075531971,0.1370918982115718,0.08646558884437197,STRONG survival edge (Bonferroni),
BMI.elsworth,Combined parental age at death,423,Inverse variance weighted,-0.16662431323763816,0.013291559207459027,4.7374306581919315e-36,63.58297810064925,0.31806999169252526,-0.15321660739716647,-0.13338766082365575,STRONG survival edge (Bonferroni),
BMI.elsworth,Father's age at death,423,Inverse variance weighted,-0.11931115785494645,0.010427139413830257,2.567821789917222e-30,63.58297810064925,0.07245667034865916,-0.09650832667624612,-0.0724680565753617,STRONG survival edge (Bonferroni),
BMI.elsworth,Mother's attained age,423,Inverse variance weighted,0.10408895876677084,0.010474726391021935,2.8690985968852654e-23,63.58297810064925,0.09835752393454229,0.10856383669021215,0.06076939933915029,STRONG survival edge (Bonferroni),
bloodglucose.barton,"Parental lifespan (combined, Martingale resid)",106,Inverse variance weighted,0.014323898666659092,0.0107113379638757,0.1811361115963437,136.13347581455997,0.5993176125984576,0.019841896610846795,0.007178959724252688,no clear edge,
bloodglucose.barton,Combined parental age at death,106,Inverse variance weighted,-0.023573964621780914,0.01522074214854799,0.12142855461041961,136.13347581455997,0.17073823989608178,-0.026212086097203886,0.0028019796003715338,no clear edge,
bloodglucose.barton,Father's age at death,106,Inverse variance weighted,-0.02869186486765445,0.011638607002716433,0.013692461375128653,136.13347581455997,0.1663615359088729,-0.019672346444975765,-0.008316348279418304,nominal survival edge,
