pathway,exposure,model,effect_type,n_snps,beta,se,ci_lower,ci_upper,pval,pct_mediated,pm_flag,config
HMGCR,LDL-C,Univariable (total),Total (chol->Ca),16,0.18542888097995905,0.019853982986212722,0.14651507432698213,0.22434268763293597,9.667015603278884e-21,NA,NA,UKB primary (LDL-C)
HMGCR,LDL-C,MVMR (difference),Direct (chol->Ca | BMD),290,0.1758875784872962,0.034986708460810596,0.10731488996650466,0.2444602670080877,4.975154476799446e-7,5.145532045622423,ok,UKB primary (LDL-C)
HMGCR,LDL-C,Two-step (product a*b),Indirect (chol->BMD->Ca),308,9.333338110219709e-4,0.0012485597131497428,-0.0015138432267515249,0.003380510848795467,0.4547446825999399,0.5033378867895151,ok,UKB primary (LDL-C)
PCSK9,LDL-C,Univariable (total),Total (chol->Ca),3,0.0037775771471048217,0.0199901351276359,-0.035403087703061546,0.042958241997271183,0.850114709925416,NA,NA,UKB primary (LDL-C)
PCSK9,LDL-C,MVMR (difference),Direct (chol->Ca | BMD),284,0.11106803607611063,0.03424280892678167,0.04395336385013192,0.17818270830208932,0.0011805283404660869,-2840.192397162145,inconsistent sign (interpret with care),UKB primary (LDL-C)
PCSK9,LDL-C,Two-step (product a*b),Indirect (chol->BMD->Ca),308,1.900516175731984e-4,3.0953316391245687e-4,-4.16633383695217e-4,7.967366188416138e-4,0.5392190526882457,5.031045301585863,ok,UKB primary (LDL-C)
All LDL-C SNPs,LDL-C,Univariable (total),Total (LDL->Ca),121,0.03881095622623996,0.02353851842272871,-0.007324539882308315,0.08494645233478823,0.09918298163218213,NA,NA,UKB primary (LDL-C)
All LDL-C SNPs,LDL-C,MVMR (difference),Direct (LDL->Ca | BMD),293,0.026901054854178545,0.01811829229691206,-0.008610145509138568,0.06241225521749566,0.13761122606185214,30.686956803216226,ok,UKB primary (LDL-C)
HMGCR,Total cholesterol,Univariable (total),Total (chol->Ca),26,0.18230029149123386,0.012446338186540272,0.15790546864561494,0.20669511433685278,1.410003111284463e-48,NA,NA,"Sensitivity (Total-C, non-UKB)"
HMGCR,Total cholesterol,MVMR (difference),Direct (chol->Ca | BMD),102,0.17572330996919439,0.028500323829599737,0.11986370171545024,0.23158291822293853,7.018970411703325e-10,3.6077734534811423,ok,"Sensitivity (Total-C, non-UKB)"
HMGCR,Total cholesterol,Two-step (product a*b),Indirect (chol->BMD->Ca),308,8.856643802556399e-4,0.001187120731990639,-0.0014410922544460126,0.0032124210149572924,0.45563061799485977,0.485827188212822,ok,"Sensitivity (Total-C, non-UKB)"
PCSK9,Total cholesterol,Univariable (total),Total (chol->Ca),3,0.003596849157194455,0.021286591775413716,-0.03812487072261642,0.04531856903700534,0.8658182526351538,NA,NA,"Sensitivity (Total-C, non-UKB)"
PCSK9,Total cholesterol,MVMR (difference),Direct (chol->Ca | BMD),80,0.07620100777287296,0.03800819753574521,0.0017063094855283428,0.1506957060602176,0.04497831743497582,-2018.5488866124651,inconsistent sign (interpret with care),"Sensitivity (Total-C, non-UKB)"
PCSK9,Total cholesterol,Two-step (product a*b),Indirect (chol->BMD->Ca),308,2.2030486323271152e-4,3.3602937602863597e-4,-4.38312713783415e-4,8.78922440248838e-4,0.5120738562163178,6.124940290922555,ok,"Sensitivity (Total-C, non-UKB)"
